recv_time,is_race_on,timestamp_ms,engine_max_rpm,engine_idle_rpm,current_engine_rpm,acceleration_x,acceleration_y,acceleration_z,velocity_x,velocity_y,velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,yaw,pitch,roll,norm_susp_travel_fl,norm_susp_travel_fr,norm_susp_travel_rl,norm_susp_travel_rr,tire_slip_ratio_fl,tire_slip_ratio_fr,tire_slip_ratio_rl,tire_slip_ratio_rr,wheel_rot_speed_fl,wheel_rot_speed_fr,wheel_rot_speed_rl,wheel_rot_speed_rr,wheel_on_rumble_fl,wheel_on_rumble_fr,wheel_on_rumble_rl,wheel_on_rumble_rr,wheel_in_puddle_fl,wheel_in_puddle_fr,wheel_in_puddle_rl,wheel_in_puddle_rr,surface_rumble_fl,surface_rumble_fr,surface_rumble_rl,surface_rumble_rr,tire_slip_angle_fl,tire_slip_angle_fr,tire_slip_angle_rl,tire_slip_angle_rr,tire_combined_slip_fl,tire_combined_slip_fr,tire_combined_slip_rl,tire_combined_slip_rr,susp_travel_m_fl,susp_travel_m_fr,susp_travel_m_rl,susp_travel_m_rr,car_ordinal,car_class,car_performance_index,drivetrain_type,num_cylinders,position_x,position_y,position_z,speed,power,torque,tire_temp_fl,tire_temp_fr,tire_temp_rl,tire_temp_rr,boost,fuel,distance_traveled,best_lap,last_lap,current_lap,current_race_time,lap_number,race_position,accel,brake,clutch,handbrake,gear,steer,normalized_driving_line,normalized_ai_brake_difference,speed_kmh,speed_mph,gear_label,is_racing,dash_base
1780064440.732,1,49636906,8599.9951171875,799.99951171875,5071.9287109375,6.678424835205078,0.29387199878692627,4.891404151916504,-1.5354747772216797,-0.1737494170665741,28.364145278930664,-0.026651091873645782,0.07290170341730118,-0.10062864422798157,-1.9912559986114502,-0.0037791249342262745,0.012311632744967937,0.5399104952812195,0.34664785861968994,0.6039633750915527,0.4102950096130371,0.20257653295993805,0.17916172742843628,0.17793865501880646,0.21135109663009644,90.80451202392578,90.21480560302734,91.68120574951172,91.65487670898438,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4377736449241638,-0.3775126039981842,0.4153520166873932,0.42778918147087097,0.4823722839355469,0.4178692102432251,0.4518622159957886,0.4771507978439331,0.006953597068786621,-0.009616047143936157,0.013959348201751709,-0.0019046664237976074,269,3,661,2,6,-838.2339477539062,105.2964859008789,-4859.474609375,28.406204223632812,264161.28125,497.44305419921875,166.11402893066406,167.98472595214844,159.46612548828125,159.46612548828125,14.493884086608887,1.0,0.0,0.0,0.0,0.0,1409.3585205078125,0,0,255,0,0,0,3,-21,66,0,102.26,63.54,3,True,244
1780064440.745,1,49636921,8599.9951171875,799.99951171875,5075.38818359375,6.0613484382629395,0.3511672914028168,4.926775932312012,-1.5247077941894531,-0.17514266073703766,28.405546188354492,-0.02693263068795204,0.044286515563726425,-0.09382845461368561,-1.9907686710357666,-0.0040245745331048965,0.011449053883552551,0.5386661887168884,0.35750439763069153,0.6031364798545837,0.4220939576625824,0.19259054958820343,0.17208993434906006,0.17542622983455658,0.20168299973011017,90.77729034423828,90.36041259765625,91.71475219726562,91.74968719482422,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39597412943840027,-0.34095388650894165,0.4042058289051056,0.4158630967140198,0.44032561779022217,0.3819221258163452,0.440632164478302,0.4621884226799011,0.006846912205219269,-0.008685246109962463,0.013891614973545074,-0.0009381771087646484,269,3,661,2,6,-838.4595947265625,105.29576110839844,-4859.59033203125,28.446975708007812,264368.625,497.49713134765625,166.11618041992188,167.9709930419922,159.4765625,159.4765625,14.493924140930176,1.0,0.0,0.0,0.0,0.0,1409.367431640625,0,0,255,0,0,0,3,-20,66,0,102.41,63.63,3,True,244
1780064440.751,1,49636921,8599.9951171875,799.99951171875,5079.1240234375,5.553638458251953,0.4208250641822815,4.985398292541504,-1.5040340423583984,-0.17578831315040588,28.447834014892578,-0.026789620518684387,0.016372429206967354,-0.08612444251775742,-1.9905316829681396,-0.004267911426723003,0.010650279931724072,0.5371337532997131,0.3673742711544037,0.6022476553916931,0.4328158497810364,0.18410807847976685,0.16564272344112396,0.1723073422908783,0.19273318350315094,90.77239227294922,90.5057601928711,91.74427795410156,91.85053253173828,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3541938066482544,-0.30496451258659363,0.3906865119934082,0.40198129415512085,0.399185448884964,0.3470459282398224,0.4269962012767792,0.4457970857620239,0.006715528666973114,-0.007839038968086243,0.013818807899951935,-5.99101185798645e-05,269,3,661,2,6,-838.6866455078125,105.29510498046875,-4859.70654296875,28.488107681274414,264589.71875,497.553955078125,166.1167755126953,167.95591735839844,159.48675537109375,159.48675537109375,14.4939603805542,1.0,0.0,0.0,0.0,0.0,1409.3763427734375,0,0,255,0,0,0,3,-19,66,0,102.56,63.73,3,True,244
1780064440.761,1,49636937,8599.9951171875,799.99951171875,5082.9970703125,5.044999122619629,0.4876171052455902,4.975088119506836,-1.471949577331543,-0.17580202221870422,28.491676330566406,-0.026294995099306107,-0.010484841652214527,-0.07793783396482468,-1.9905390739440918,-0.004508140031248331,0.009914959780871868,0.535294771194458,0.3761896789073944,0.6015628576278687,0.44431236386299133,0.17278575897216797,0.16066280007362366,0.16828081011772156,0.18522201478481293,90.7326889038086,90.67633819580078,91.77530670166016,91.9643325805664,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2930673360824585,-0.2521767318248749,0.37426286935806274,0.38627442717552185,0.34021079540252686,0.299007773399353,0.410354882478714,0.4283866584300995,0.006557859480381012,-0.007083237171173096,0.013762712478637695,0.0008818060159683228,269,3,661,2,6,-838.9169311523438,105.29451751708984,-4859.82421875,28.530216217041016,264820.53125,497.61395263671875,166.11587524414062,167.9394073486328,159.49668884277344,159.49668884277344,14.493990898132324,1.0,0.0,0.0,0.0,0.0,1409.3853759765625,0,0,255,0,0,0,3,-17,66,0,102.71,63.82,3,True,244
1780064440.77,1,49636937,8599.9951171875,799.99951171875,5087.7255859375,5.292618751525879,0.5406349897384644,4.843522548675537,-1.429886817932129,-0.17534345388412476,28.536148071289062,-0.025435063987970352,-0.03597928211092949,-0.0695306807756424,-1.9907828569412231,-0.004740409553050995,0.009254783391952515,0.5330907106399536,0.38364073634147644,0.6008182168006897,0.4566958546638489,0.16481949388980865,0.15779651701450348,0.16540174186229706,0.17731814086437225,90.74217987060547,90.85482025146484,91.8189468383789,92.07896423339844,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25085437297821045,-0.2159079760313034,0.3559877574443817,0.36795711517333984,0.3001556098461151,0.26742473244667053,0.39253664016723633,0.4084533751010895,0.006368890404701233,-0.006444409489631653,0.01370171457529068,0.0018961802124977112,269,3,661,2,6,-839.1484985351562,105.29400634765625,-4859.94189453125,28.57248878479004,265090.40625,497.6809387207031,166.1129913330078,167.92115783691406,159.50619506835938,159.50619506835938,14.494017601013184,1.0,0.0,0.0,0.0,0.0,1409.39453125,0,0,255,0,0,0,3,-16,66,0,102.86,63.91,3,True,244
1780064440.777,1,49636953,8599.9951171875,799.99951171875,5092.88720703125,5.065981864929199,0.5919203162193298,4.873459815979004,-1.3795557022094727,-0.17441514134407043,28.580673217773438,-0.02424982748925686,-0.05961868539452553,-0.061277057975530624,-1.991242527961731,-0.004958571866154671,0.008678016252815723,0.5307369828224182,0.3896391689777374,0.5999658107757568,0.46827414631843567,0.15907107293605804,0.1557316780090332,0.1627466082572937,0.1707514524459839,90.76763153076172,91.03264617919922,91.8723373413086,92.19963073730469,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20942984521389008,-0.18010671436786652,0.3363998532295227,0.34810635447502136,0.26299139857292175,0.23809826374053955,0.37369951605796814,0.3877294063568115,0.006167091429233551,-0.005930125713348389,0.013631895184516907,0.002844594419002533,269,3,661,2,6,-839.3778686523438,105.2935791015625,-4860.05810546875,28.614479064941406,265398.0625,497.760009765625,166.10850524902344,167.9017791748047,159.5149688720703,159.5149688720703,14.494040489196777,1.0,0.0,0.0,0.0,0.0,1409.403564453125,0,0,255,0,0,0,3,-15,66,0,103.01,64.01,3,True,244
1780064440.788,1,49636968,8599.9951171875,799.99951171875,5098.57958984375,4.542989253997803,0.6260693669319153,5.050176620483398,-1.3208341598510742,-0.17353805899620056,28.62602996826172,-0.02296503819525242,-0.08160632103681564,-0.05263926833868027,-1.9919103384017944,-0.005165500566363335,0.008175330236554146,0.5286054611206055,0.3943726718425751,0.6011118292808533,0.4786423146724701,0.15263697504997253,0.1559356302022934,0.1614759862422943,0.16460196673870087,90.78295135498047,91.23599243164062,91.9427490234375,92.32471466064453,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1691589057445526,-0.14524951577186584,0.3158923089504242,0.32679980993270874,0.2278437614440918,0.21310406923294067,0.3547709882259369,0.36591246724128723,0.005984343588352203,-0.005524292588233948,0.01372576504945755,0.00369388610124588,269,3,661,2,6,-839.6094360351562,105.29322052001953,-4860.17529296875,28.657012939453125,265734.125,497.8458251953125,166.10263061523438,167.88119506835938,159.52308654785156,159.52308654785156,14.494063377380371,1.0,0.0,0.0,0.0,0.0,1409.41259765625,0,0,255,0,0,0,3,-14,66,0,103.17,64.1,3,True,244
1780064440.796,1,49636968,8599.9951171875,799.99951171875,5104.7724609375,4.999190330505371,0.6590911149978638,4.796248435974121,-1.2543220520019531,-0.1726970672607422,28.671977996826172,-0.02141394093632698,-0.10176726430654526,-0.04484208673238754,-1.9927704334259033,-0.005358866881579161,0.007745824754238129,0.5267718434333801,0.39806699752807617,0.6040688753128052,0.48760220408439636,0.1482427567243576,0.159148707985878,0.15854229032993317,0.15919645130634308,90.8332748413086,91.46638488769531,92.00203704833984,92.45002746582031,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12999272346496582,-0.11097057163715363,0.2933858335018158,0.30418339371681213,0.19716496765613556,0.1940174698829651,0.3334829807281494,0.3433235287666321,0.005827136337757111,-0.005207553505897522,0.01396799087524414,0.004427820444107056,269,3,661,2,6,-839.8424682617188,105.29293823242188,-4860.29248046875,28.699922561645508,266098.34375,497.9338073730469,166.09547424316406,167.85951232910156,159.5302734375,159.5302734375,14.494078636169434,1.0,0.0,0.0,0.0,0.0,1409.4217529296875,0,0,255,0,0,0,3,-13,66,0,103.32,64.2,3,True,244
1780064440.805,1,49636984,8599.9951171875,799.99951171875,5111.13720703125,4.188470840454102,0.6651240587234497,5.176373481750488,-1.181675910949707,-0.17180892825126648,28.718236923217773,-0.019690046086907387,-0.1198451891541481,-0.038123346865177155,-1.993799090385437,-0.005535563454031944,0.007383387535810471,0.5248991250991821,0.4007658064365387,0.6073883771896362,0.4952693283557892,0.14530721306800842,0.16324438154697418,0.1555979996919632,0.15370236337184906,90.89883422851562,91.69495391845703,92.06519317626953,92.57279205322266,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0936654582619667,-0.07864409685134888,0.2700728476047516,0.28067708015441895,0.17287974059581757,0.18120050430297852,0.3116890788078308,0.3200063109397888,0.005666576325893402,-0.004976168274879456,0.014239899814128876,0.005055859684944153,269,3,661,2,6,-840.0753784179688,105.29271697998047,-4860.40966796875,28.743051528930664,266470.40625,498.01153564453125,166.0872039794922,167.8370819091797,159.5365447998047,159.5365447998047,14.494093894958496,1.0,0.0,0.0,0.0,0.0,1409.4307861328125,0,0,255,0,0,0,3,-11,65,0,103.47,64.3,3,True,244
1780064440.814,1,49636984,8599.9951171875,799.99951171875,5117.92724609375,5.350539207458496,0.6604976058006287,4.641567230224609,-1.1051387786865234,-0.1708911955356598,28.764047622680664,-0.01791037991642952,-0.1355375498533249,-0.0325201079249382,-1.994962453842163,-0.005693408660590649,0.00708038592711091,0.5228531360626221,0.4023197591304779,0.6104186773300171,0.5014755725860596,0.14267422258853912,0.16697335243225098,0.15345720946788788,0.14947441220283508,90.9674072265625,91.90876770019531,92.15042877197266,92.70661163330078,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05960221588611603,-0.047787051647901535,0.24648085236549377,0.256670743227005,0.15462328493595123,0.1736770123243332,0.2903479337692261,0.29702267050743103,0.0054911598563194275,-0.004842936992645264,0.01448812335729599,0.005564235150814056,269,3,661,2,6,-840.3057250976562,105.29255676269531,-4860.5244140625,28.785778045654297,266859.9375,498.091796875,166.07814025878906,167.81443786621094,159.5417938232422,159.5417938232422,14.494109153747559,1.0,0.0,0.0,0.0,0.0,1409.439697265625,0,0,255,0,0,0,3,-10,65,0,103.63,64.39,3,True,244
